,test/afro_112.jpg,test/afro_40.jpg,test/afro_745.jpg,test/barbering_793.jpg,test/barbering_796.jpg,test/barbering_802.jpg,test/colour_17.jpg,test/colour_173.jpg,test/colour_185.jpg,test/colour_191.jpg,test/colour_195.jpg,test/colour_209.jpg,test/colour_212.jpg,test/colour_213.jpg,test/colour_215.jpg,test/colour_240.jpg,test/colour_294.jpg,test/colour_304.jpg,test/colour_319.jpg,test/colour_331.jpg,test/colour_361.jpg,test/colour_366.jpg,test/colour_371.jpg,test/colour_376.jpg,test/colour_415.jpg,test/colour_434.jpg,test/colour_72.jpg,test/colour_75.jpg,test/long_296.jpg,test/long_334.jpg,test/long_39.jpg,test/long_50.jpg,test/long_51.jpg,test/long_724.jpg,test/mid-length_192.jpg,test/mid-length_193.jpg,test/mid-length_285.jpg,test/short_104.jpg,test/short_233.jpg,test/short_251.jpg,test/short_306.jpg,test/short_99.jpg,test/special-occasions_355.jpg,test/special-occasions_357.jpg,test/special-occasions_475.jpg,test/special-occasions_495.jpg,test/special-occasions_556.jpg,test/special-occasions_602.jpg,test/special-occasions_860.jpg,test/special-occasions_885.jpg,uploaded_image
test/afro_112.jpg,1.0000002,0.541651,0.7077332,0.49910432,0.6347472,0.6485299,0.5197114,0.4187142,0.33552003,0.3261985,0.3618063,0.363158,0.36649978,0.4412284,0.3763281,0.34207672,0.4275123,0.4793894,0.5220624,0.2420843,0.42229244,0.36524788,0.40419576,0.32305396,0.24476324,0.33056495,0.33328104,0.36779365,0.459081,0.42880568,0.39222416,0.46494734,0.43999395,0.50932246,0.36541724,0.48045304,0.45469072,0.584188,0.39044017,0.5478695,0.533773,0.5099939,0.5144006,0.5311537,0.5441745,0.4676366,0.58813566,0.5563812,0.41538718,0.61507756,0.5367355
test/afro_40.jpg,0.541651,0.99999976,0.4446864,0.5091094,0.5450225,0.5681869,0.5211474,0.49839938,0.3532994,0.3145815,0.31459266,0.39241946,0.36258548,0.4400257,0.3553543,0.38583234,0.456205,0.42636442,0.5040374,0.25609258,0.34555182,0.34977165,0.34293047,0.2867765,0.22607753,0.2856611,0.33593246,0.41955185,0.56862134,0.5307023,0.40061527,0.38191274,0.40007043,0.5959221,0.3267532,0.4270242,0.5567531,0.45791674,0.39185178,0.6065498,0.565595,0.5186401,0.5010911,0.5396554,0.47442615,0.4970591,0.57442564,0.50972885,0.37441513,0.53931475,0.5540022
test/afro_745.jpg,0.7077332,0.4446864,0.9999999,0.54392874,0.6397197,0.6610304,0.42505816,0.34935802,0.30743104,0.35918143,0.35193846,0.349901,0.3677652,0.38142958,0.37581548,0.42479184,0.358132,0.43845898,0.40786767,0.2191386,0.41807592,0.3447898,0.38507706,0.30758342,0.30329514,0.3471046,0.3105544,0.36133268,0.35847178,0.31946418,0.34028584,0.35185778,0.4515414,0.44448534,0.3782372,0.50347257,0.40701494,0.5190845,0.37640423,0.41317603,0.45077768,0.5406257,0.54347116,0.41472203,0.5156419,0.40045738,0.46489277,0.4736628,0.39115277,0.5301549,0.39491677
test/barbering_793.jpg,0.49910432,0.5091094,0.54392874,1.0000002,0.6387971,0.5809683,0.49215794,0.45416546,0.37163147,0.3503546,0.3628071,0.39037922,0.3542441,0.40357146,0.38609394,0.34823474,0.41496637,0.38018876,0.47460055,0.32430375,0.46929514,0.3618707,0.3728519,0.33810294,0.30257225,0.31228766,0.26688337,0.35732436,0.37577114,0.38497555,0.332968,0.40316403,0.4356785,0.4915564,0.31757936,0.42614484,0.42131537,0.46874395,0.4686203,0.5219528,0.48147792,0.5162363,0.49247605,0.4522336,0.40911612,0.39116377,0.5109114,0.4437832,0.35266057,0.41068357,0.4044466
test/barbering_796.jpg,0.6347472,0.5450225,0.6397197,0.6387971,1.0000002,0.7302256,0.535096,0.43508798,0.36513045,0.3490296,0.38062274,0.42593175,0.41111416,0.4676489,0.42205933,0.40749988,0.41298842,0.5254981,0.5233732,0.28330836,0.4135828,0.36791295,0.39894715,0.32027948,0.31761524,0.33766788,0.35072052,0.40903357,0.40849185,0.44091487,0.43328637,0.42797858,0.5110317,0.52314454,0.3788424,0.5325611,0.50747114,0.55898565,0.43417132,0.5781803,0.5643104,0.62759066,0.57213366,0.5769932,0.51146525,0.48999375,0.5627697,0.56596917,0.43067983,0.5217378,0.50125694
test/barbering_802.jpg,0.6485299,0.5681869,0.6610304,0.5809683,0.7302256,1.0000001,0.6022588,0.46193406,0.38369054,0.39375803,0.4356097,0.4636219,0.43729913,0.5362292,0.5358634,0.4135102,0.45498013,0.5823248,0.5650936,0.26005304,0.40846422,0.37191996,0.45279524,0.3205055,0.34067553,0.3762946,0.37473798,0.44532943,0.40432772,0.43884796,0.40860683,0.4565548,0.5211701,0.5763734,0.4460674,0.56823087,0.59908915,0.75210035,0.4126796,0.5359625,0.6579983,0.6206527,0.60067487,0.60461646,0.47777787,0.53592175,0.6247175,0.5268788,0.42383808,0.54638225,0.498853
test/colour_17.jpg,0.5197114,0.5211474,0.42505816,0.49215794,0.535096,0.6022588,1.0,0.61129713,0.61375815,0.46973452,0.54139805,0.62210315,0.62962097,0.6923392,0.57354695,0.5441378,0.60835105,0.727082,0.6375562,0.43340692,0.5249499,0.50391036,0.5314798,0.43253186,0.562925,0.5100477,0.4524249,0.58452505,0.51456654,0.588158,0.6092449,0.5611668,0.5962895,0.63384527,0.53706735,0.61188537,0.672728,0.7155088,0.4428423,0.66161454,0.63583034,0.60806906,0.62585217,0.6979916,0.5053167,0.6152766,0.6953985,0.62878656,0.6073618,0.59498614,0.5313232
test/colour_173.jpg,0.4187142,0.49839938,0.34935802,0.45416546,0.43508798,0.46193406,0.61129713,0.9999997,0.48518905,0.46576223,0.58993787,0.76682603,0.52759933,0.6386817,0.48144376,0.54545027,0.77219105,0.56127566,0.79425263,0.6587194,0.631546,0.5408213,0.52000356,0.6148692,0.43352598,0.48640612,0.49765408,0.5521766,0.5467168,0.7598725,0.66662514,0.73914385,0.59608144,0.650263,0.44437408,0.5575698,0.56115115,0.50518924,0.53163224,0.5921383,0.55567163,0.5126119,0.48734283,0.5653225,0.42982903,0.46912628,0.58283067,0.5563254,0.5060096,0.49728075,0.49814746
test/colour_185.jpg,0.33552003,0.3532994,0.30743104,0.37163147,0.36513045,0.38369054,0.61375815,0.48518905,0.9999998,0.5612635,0.5683926,0.4668321,0.4556421,0.4418464,0.5916333,0.42582363,0.39182398,0.51478386,0.45558208,0.42843553,0.4440342,0.4608163,0.439161,0.41822946,0.5854372,0.53933805,0.41651058,0.47042483,0.34767777,0.40749905,0.51373005,0.3863224,0.4460374,0.412804,0.59268594,0.49935585,0.45930398,0.41378647,0.44815946,0.519976,0.40020663,0.43022686,0.4888668,0.49827027,0.39582786,0.4619219,0.4916153,0.47520298,0.5318065,0.4215639,0.3800132
test/colour_191.jpg,0.3261985,0.3145815,0.35918143,0.3503546,0.3490296,0.39375803,0.46973452,0.46576223,0.5612635,0.9999998,0.74670476,0.5250987,0.5264759,0.49497068,0.75296307,0.5256708,0.39768276,0.4958992,0.4552303,0.36102277,0.39924565,0.41361907,0.4496162,0.42890507,0.5211126,0.53085715,0.4425424,0.5039878,0.42445552,0.45074978,0.48560023,0.3670703,0.4933666,0.4535939,0.6308917,0.5139845,0.45347697,0.44694513,0.35839507,0.45275223,0.43306196,0.4174886,0.4420148,0.37778723,0.39911184,0.4107797,0.4332443,0.42285344,0.50171316,0.45603076,0.37219664
test/colour_195.jpg,0.3618063,0.31459266,0.35193846,0.3628071,0.38062274,0.4356097,0.54139805,0.58993787,0.5683926,0.74670476,0.9999999,0.6521833,0.5563391,0.6085231,0.79014194,0.535843,0.5799994,0.5110041,0.61057657,0.43596405,0.46572095,0.44671154,0.5402571,0.4751234,0.55625224,0.6340679,0.6221256,0.5718254,0.42420116,0.61913073,0.5545486,0.4968604,0.60908717,0.524933,0.72484946,0.55757207,0.4900301,0.47734383,0.42506307,0.50119615,0.48934865,0.4471659,0.4895634,0.4508673,0.4338417,0.4293685,0.5057943,0.44696072,0.51247555,0.42876884,0.39438528
test/colour_209.jpg,0.363158,0.39241946,0.349901,0.39037922,0.42593175,0.4636219,0.62210315,0.76682603,0.4668321,0.5250987,0.6521833,1.0000001,0.6217335,0.7923111,0.57766736,0.59495986,0.7087204,0.6478548,0.7484493,0.5086516,0.53078014,0.46460184,0.52927125,0.5336092,0.4597998,0.5173236,0.5468652,0.5550939,0.48909688,0.7369829,0.6950911,0.6249222,0.7151724,0.6079284,0.51685333,0.6877208,0.61486804,0.5262689,0.42975655,0.5691755,0.5549732,0.5474651,0.50205857,0.57194597,0.4820615,0.5130663,0.57158375,0.5075931,0.5527348,0.5018475,0.4866184
test/colour_212.jpg,0.36649978,0.36258548,0.3677652,0.3542441,0.41111416,0.43729913,0.62962097,0.52759933,0.4556421,0.5264759,0.5563391,0.6217335,1.0000004,0.71737134,0.54212195,0.71216094,0.5662715,0.78275543,0.52745223,0.44348776,0.49761286,0.52105457,0.70524615,0.52483153,0.7383275,0.5960932,0.6024847,0.7831815,0.4845828,0.50452155,0.6053217,0.464655,0.56339514,0.58336294,0.54634136,0.5586464,0.63057,0.4786302,0.37295806,0.4812125,0.46213135,0.5448232,0.47585902,0.5293634,0.4329994,0.4608454,0.5209475,0.45374346,0.55027485,0.50358135,0.40869954
test/colour_213.jpg,0.4412284,0.4400257,0.38142958,0.40357146,0.4676489,0.5362292,0.6923392,0.6386817,0.4418464,0.49497068,0.6085231,0.7923111,0.71737134,0.99999994,0.6557708,0.6370898,0.63572544,0.72994334,0.6800624,0.39703327,0.4663521,0.41358665,0.58110535,0.45440835,0.4921131,0.55357534,0.5608228,0.6008673,0.50318146,0.6360896,0.6555692,0.55694675,0.713972,0.6576904,0.5602144,0.6818673,0.6835505,0.61452127,0.38388798,0.5819599,0.62451917,0.5786158,0.5659326,0.67505383,0.5425034,0.5986092,0.6729361,0.5383195,0.60765857,0.56098723,0.5542706
test/colour_215.jpg,0.3763281,0.3553543,0.37581548,0.38609394,0.42205933,0.5358634,0.57354695,0.48144376,0.5916333,0.75296307,0.79014194,0.57766736,0.54212195,0.6557708,1.0000004,0.4771864,0.4419271,0.5660499,0.5076999,0.30956644,0.38416624,0.39923823,0.48833752,0.3569581,0.54241395,0.58115447,0.47576857,0.50291955,0.40532014,0.4647736,0.50846237,0.37415922,0.568154,0.52044916,0.73906624,0.58323944,0.5524044,0.53093225,0.30690777,0.4955421,0.56570834,0.53315353,0.5662073,0.5333228,0.4378861,0.5023295,0.5818407,0.4368729,0.534256,0.41542968,0.43674868
test/colour_240.jpg,0.34207672,0.38583234,0.42479184,0.34823474,0.40749988,0.4135102,0.5441378,0.54545027,0.42582363,0.5256708,0.535843,0.59495986,0.71216094,0.6370898,0.4771864,0.9999999,0.51588875,0.6803268,0.5493716,0.4180454,0.49625307,0.45509648,0.66302985,0.5233224,0.6462598,0.5795434,0.5837177,0.6888729,0.4729776,0.4934711,0.5930404,0.44516578,0.5564518,0.5647911,0.54837424,0.59414226,0.53952426,0.44372767,0.40652978,0.45951205,0.4197696,0.44854054,0.5524727,0.45373258,0.4947998,0.45917436,0.492311,0.5275289,0.564186,0.5597182,0.4198665
test/colour_294.jpg,0.4275123,0.456205,0.358132,0.41496637,0.41298842,0.45498013,0.60835105,0.77219105,0.39182398,0.39768276,0.5799994,0.7087204,0.5662715,0.63572544,0.4419271,0.51588875,0.9999999,0.5308219,0.7765081,0.5319881,0.5415492,0.48523396,0.52768904,0.62162995,0.45795846,0.46798962,0.4820665,0.5483994,0.5809239,0.723851,0.55476063,0.669127,0.55665123,0.650712,0.4318842,0.5382898,0.63303953,0.5162783,0.51813114,0.59803236,0.5279911,0.498133,0.45643327,0.5545356,0.40342042,0.45395276,0.5420116,0.48214263,0.46958053,0.49270916,0.4807689
test/colour_304.jpg,0.4793894,0.42636442,0.43845898,0.38018876,0.5254981,0.5823248,0.727082,0.56127566,0.51478386,0.4958992,0.5110041,0.6478548,0.78275543,0.72994334,0.5660499,0.6803268,0.5308219,0.9999999,0.5986157,0.41856942,0.52159876,0.53694576,0.64724565,0.47993764,0.68609107,0.55690926,0.5313416,0.71138924,0.45439553,0.5302249,0.6556695,0.52092075,0.6103864,0.5709875,0.60124594,0.6490604,0.66354,0.61344206,0.392052,0.54612625,0.55974096,0.56633556,0.586874,0.62203676,0.5238769,0.54882914,0.63295114,0.59750414,0.60599846,0.59984475,0.49959797
test/colour_319.jpg,0.5220624,0.5040374,0.40786767,0.47460055,0.5233732,0.5650936,0.6375562,0.79425263,0.45558208,0.4552303,0.61057657,0.7484493,0.52745223,0.6800624,0.5076999,0.5493716,0.7765081,0.5986157,1.0,0.55234456,0.576679,0.50837517,0.5490898,0.5800934,0.43104088,0.4767831,0.48825493,0.5620069,0.5499052,0.7530561,0.6322748,0.74182975,0.64689237,0.6632352,0.46061122,0.5675478,0.60134023,0.6086184,0.5887075,0.6431507,0.59015954,0.51300704,0.5471275,0.6377245,0.4619101,0.5085672,0.6228087,0.59055036,0.5226147,0.56637716,0.54194236
test/colour_331.jpg,0.2420843,0.25609258,0.2191386,0.32430375,0.28330836,0.26005304,0.43340692,0.6587194,0.42843553,0.36102277,0.43596405,0.5086516,0.44348776,0.39703327,0.30956644,0.4180454,0.5319881,0.41856942,0.55234456,1.0000001,0.61956215,0.5948916,0.45540133,0.61310476,0.4946562,0.35907018,0.34102228,0.46375448,0.362862,0.49659684,0.55452853,0.649505,0.42732263,0.38427654,0.318054,0.37962788,0.3448707,0.32664007,0.49387094,0.37480018,0.33441034,0.3162943,0.28124183,0.32949582,0.2654456,0.28453487,0.31584522,0.3477072,0.38579297,0.30229184,0.302937
test/colour_361.jpg,0.42229244,0.34555182,0.41807592,0.46929514,0.4135828,0.40846422,0.5249499,0.631546,0.4440342,0.39924565,0.46572095,0.53078014,0.49761286,0.4663521,0.38416624,0.49625307,0.5415492,0.52159876,0.576679,0.61956215,0.9999999,0.7309633,0.64927197,0.73478293,0.48294145,0.41466367,0.40540978,0.52006066,0.39648837,0.4677063,0.5357196,0.6200872,0.52798915,0.46905476,0.39632696,0.48156404,0.41635233,0.4268238,0.5539994,0.47535133,0.4289746,0.4426311,0.4349399,0.40452498,0.41845882,0.37905234,0.44847795,0.47911826,0.4151569,0.44797677,0.37572616
test/colour_366.jpg,0.36524788,0.34977165,0.3447898,0.3618707,0.36791295,0.37191996,0.50391036,0.5408213,0.4608163,0.41361907,0.44671154,0.46460184,0.52105457,0.41358665,0.39923823,0.45509648,0.48523396,0.53694576,0.50837517,0.5948916,0.7309633,0.9999998,0.62524277,0.6833043,0.53815204,0.41699898,0.41871968,0.58400404,0.3712735,0.435619,0.51100624,0.49180847,0.4489428,0.41092473,0.4079815,0.46280575,0.4217985,0.3969603,0.5141168,0.46889877,0.3941468,0.4465955,0.42405835,0.42511615,0.3471629,0.3662632,0.43275034,0.4502964,0.40669,0.4005064,0.34289244
test/colour_371.jpg,0.40419576,0.34293047,0.38507706,0.3728519,0.39894715,0.45279524,0.5314798,0.52000356,0.439161,0.4496162,0.5402571,0.52927125,0.70524615,0.58110535,0.48833752,0.66302985,0.52768904,0.64724565,0.5490898,0.45540133,0.64927197,0.62524277,1.0,0.6600851,0.6257148,0.61282724,0.62353855,0.7315686,0.42355606,0.43727568,0.5066879,0.4507493,0.54245484,0.49774644,0.5434268,0.54412544,0.5210413,0.4612901,0.4691496,0.46325037,0.4472725,0.40848738,0.45698512,0.45843503,0.41687563,0.39865378,0.4992962,0.44672114,0.44233966,0.49442115,0.35219324
test/colour_376.jpg,0.32305396,0.2867765,0.30758342,0.33810294,0.32027948,0.3205055,0.43253186,0.6148692,0.41822946,0.42890507,0.4751234,0.5336092,0.52483153,0.45440835,0.3569581,0.5233224,0.62162995,0.47993764,0.5800934,0.61310476,0.73478293,0.6833043,0.6600851,0.99999994,0.4867873,0.45622277,0.41952628,0.53354114,0.42236444,0.4501244,0.51872444,0.5936213,0.4484264,0.43638527,0.41791186,0.45436674,0.41477114,0.37697583,0.53439033,0.40208784,0.34609827,0.34474903,0.3607194,0.33618543,0.34456694,0.31601077,0.35884362,0.39914146,0.41137552,0.44790965,0.3115826
